CANDIDATO_CODIGO,CANDIDATO_NOMBRE,OP_CODIGO,DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,CIRCUNSCRIPCION_CODIGO,CICUNSCRIPCION_NOMBRE,CIRCUNSCRIPCION,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,JUNTA_SEXO,SUFRAGANTES,BLANCOS,NULOS,VOTOS
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,1020.0,GONZALO DIAZ DE PINEDA,F,237.0,18.0,8.0,60.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,1020.0,GONZALO DIAZ DE PINEDA,M,295.0,24.0,13.0,74.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,2180.0,LINARES,F,111.0,1.0,2.0,12.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,2180.0,LINARES,M,139.0,11.0,3.0,13.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,2640.0,OYACACHI,F,239.0,16.0,2.0,37.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,2640.0,OYACACHI,M,234.0,12.0,3.0,30.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,3745.0,SANTA ROSA DE QUIJOS,F,450.0,23.0,15.0,129.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,3745.0,SANTA ROSA DE QUIJOS,M,449.0,26.0,17.0,148.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,3790.0,SARDINAS,F,189.0,6.0,10.0,53.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,3790.0,SARDINAS,M,218.0,6.0,11.0,52.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,5510.0,EL CHACO,F,1939.0,66.0,91.0,467.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,255.0,EL CHACO,0.0,0.0,,5510.0,EL CHACO,M,1930.0,100.0,108.0,495.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,25.0,AHUANO,F,1912.0,125.0,193.0,433.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,25.0,AHUANO,M,2043.0,109.0,160.0,571.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,940.0,CHONTAPUNTA,F,1879.0,166.0,182.0,446.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,940.0,CHONTAPUNTA,M,2255.0,145.0,171.0,557.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,1930.0,TALAG,F,1101.0,51.0,43.0,346.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,1930.0,TALAG,M,1057.0,39.0,48.0,354.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,2755.0,PANO,F,677.0,17.0,18.0,159.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,2755.0,PANO,M,632.0,5.0,17.0,162.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,3000.0,PUERTO MISAHUALLI,F,1605.0,103.0,137.0,451.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,3000.0,PUERTO MISAHUALLI,M,1741.0,85.0,99.0,587.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,3050.0,PUERTO NAPO,F,1846.0,76.0,136.0,500.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,3050.0,PUERTO NAPO,M,1811.0,55.0,102.0,507.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,4580.0,SAN JUAN DE MUYUNA,F,1301.0,22.0,61.0,265.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,4580.0,SAN JUAN DE MUYUNA,M,1169.0,22.0,69.0,246.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,6160.0,TENA,F,11643.0,223.0,679.0,3126.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,620.0,TENA,0.0,0.0,,6160.0,TENA,M,10848.0,242.0,548.0,2925.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,621.0,C. J. AROSEMENA TOLA,0.0,0.0,,6760.0,CARLOS J. AROSEMENA TOLA,F,1469.0,94.0,50.0,462.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,621.0,C. J. AROSEMENA TOLA,0.0,0.0,,6760.0,CARLOS J. AROSEMENA TOLA,M,1603.0,104.0,60.0,497.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,670.0,COSANGA,F,207.0,8.0,5.0,47.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,670.0,COSANGA,M,250.0,8.0,6.0,59.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,765.0,CUYUJA,F,217.0,20.0,6.0,42.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,765.0,CUYUJA,M,227.0,21.0,20.0,44.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,2770.0,PAPALLACTA,F,253.0,24.0,27.0,54.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,2770.0,PAPALLACTA,M,279.0,29.0,35.0,54.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,3395.0,SAN FRANCISCO DE BORJA,F,814.0,40.0,24.0,155.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,3395.0,SAN FRANCISCO DE BORJA,M,717.0,40.0,30.0,156.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,3890.0,SUMACO,F,116.0,4.0,3.0,40.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,3890.0,SUMACO,M,109.0,6.0,4.0,42.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,5090.0,BAEZA,F,844.0,25.0,36.0,88.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,635.0,QUIJOS,0.0,0.0,,5090.0,BAEZA,M,819.0,35.0,47.0,97.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,685.0,COTUNDO,F,2077.0,94.0,140.0,225.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,685.0,COTUNDO,M,2185.0,96.0,111.0,269.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,3605.0,SAN PABLO DE USHPAYACU,F,1121.0,57.0,70.0,143.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,3605.0,SAN PABLO DE USHPAYACU,M,1157.0,44.0,70.0,145.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,4630.0,HATUN SUMAKU,F,774.0,58.0,40.0,64.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,4630.0,HATUN SUMAKU,M,832.0,74.0,38.0,73.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,5070.0,ARCHIDONA,F,5419.0,175.0,328.0,1022.0
1.0,GILMAR GUTIERREZ,3.0,2.0,PREFECTO Y VICEPREFECTO,15.0,NAPO,700.0,ARCHIDONA,0.0,0.0,,5070.0,ARCHIDONA,M,5235.0,185.0,300.0,1003.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,35.0,ALAQUEZ,F,2715.0,250.0,381.0,551.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,35.0,ALAQUEZ,M,2453.0,163.0,289.0,489.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,315.0,BELISARIO QUEVEDO,F,2114.0,219.0,309.0,560.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,315.0,BELISARIO QUEVEDO,M,1920.0,135.0,258.0,506.0
